Keyword,Volume,KD,CPC,Intent,Cluster,Target URL,Priority,Competitor evidence
website laten maken,18100,55,9.28,Commercial,Website laten maken,/diensten/website-laten-maken,P1,"Ranks nationally for Yourhosting, Stuurlui, Vrijdag Online, VHBP"
website laten bouwen,4400,48,8.74,Commercial,Website laten maken,/diensten/website-laten-maken,P1,"Stuurlui ranks #5 via cost article; Yourhosting ranks #1"
professionele website laten maken,2900,40,10.35,Commercial,Website laten maken,/diensten/website-laten-maken,P1,"Samdesign, Yourhosting, Aslan Webtech and Stuurlui rank in top 4"
maatwerk website laten maken,2400,24,7.28,Commercial,Website laten maken,/diensten/website-laten-maken,P1,"Vrijdag Online and Stuurlui rank for maatwerk variants"
website op maat,1900,33,7.83,Commercial,Website laten maken,/diensten/website-laten-maken,P1,"Vrijdag Online ranks #1 with product website hub"
maatwerk website,2900,11,6.57,Service research,Website laten maken,/diensten/website-laten-maken,P1,"Vrijdag Online ranks #6 with website product hub"
zakelijke website laten maken,1900,54,6.79,Commercial,Website laten maken,/diensten/website-laten-maken,P1,"Validated national B2B website term"
nieuwe website laten maken,1900,50,10.59,Commercial,Website laten maken,/diensten/website-laten-maken,P1,"Aslan Webtech and VHBP rank for new website intent"
website op maat laten maken,1300,46,7.98,Commercial,Website laten maken,/diensten/website-laten-maken,P1,"Vrijdag Online ranks #3 for this variant"
website laten maken mkb,110,50,9.28,Commercial,Website laten maken,/diensten/website-laten-maken,P2,"Relevant to Brandlift's MKB positioning despite lower volume"
website laten maken bedrijf,70,0,0.00,Commercial,Website laten maken,/diensten/website-laten-maken,P3,"Low volume support phrase for service copy"
wordpress website laten maken,6600,37,8.26,Commercial,WordPress / CMS,/diensten/website-laten-maken,P3,"Stuurlui ranks strongly; use only if WordPress remains part of offer"
website laten maken wordpress,2400,40,8.26,Commercial,WordPress / CMS,/diensten/website-laten-maken,P3,"Stuurlui ranks #3 with WordPress service page"
website laten maken den haag,1900,13,4.46,Local commercial,Den Haag website,/website-laten-maken-den-haag,P1,"Flerque #1, Webactueel #3, Vrijdag Online #5"
webdesign den haag,1300,12,4.39,Local commercial,Den Haag website,/website-laten-maken-den-haag,P1,"DutchBlue, Suprevo, Anux and Jakdesign rank with local pages"
webdesigner den haag,1000,13,4.39,Local commercial,Den Haag website,/website-laten-maken-den-haag,P1,"Vrijdag Online ranks #2"
webdesign bureau den haag,590,20,5.05,Local commercial,Den Haag website,/website-laten-maken-den-haag,P1,"Validated local agency phrase"
website bouwer den haag,260,11,8.95,Local commercial,Den Haag website,/website-laten-maken-den-haag,P1,"Flerque ranks #2"
website maken den haag,210,10,5.26,Local commercial,Den Haag website,/website-laten-maken-den-haag,P1,"Flerque ranks #1"
webdevelopment den haag,210,11,0.00,Local commercial,Den Haag website,/website-laten-maken-den-haag,P2,"Webleap ranks via Den Haag location page"
website laten bouwen den haag,50,8,4.45,Local commercial,Den Haag website,/website-laten-maken-den-haag,P2,"Validated low-KD local variant"
professionele website laten maken den haag,70,8,0.00,Local commercial,Den Haag website,/website-laten-maken-den-haag,P2,"Validated premium local variant"
wordpress website laten maken den haag,140,18,0.00,Local commercial,Den Haag website,/website-laten-maken-den-haag,P3,"Flerque ranks for WordPress specialist in Den Haag"
internetbureau den haag,140,32,2.78,Local commercial,Den Haag website,/website-laten-maken-den-haag,P3,"Flerque ranks #2 with separate internetbureau page"
webdesign in den haag,70,14,3.87,Local commercial,Den Haag website,/website-laten-maken-den-haag,P3,"Support phrase for local copy"
lokale seo,3600,33,6.11,Commercial,Lokale SEO,/diensten/lokale-seo,P1,"DTCH Digitals ranks #1 with local SEO service page"
lokale vindbaarheid verbeteren,590,16,0.00,Service research,Lokale SEO,/diensten/lokale-seo,P1,"Matches buyer language for local visibility pain"
beter gevonden worden in google,320,15,5.61,Service research,Lokale SEO,/diensten/lokale-seo,P1,"Useful non-jargon phrase for service copy"
lokale seo specialist,260,14,0.00,Commercial,Lokale SEO,/diensten/lokale-seo,P1,"Validated lower-KD specialist term"
lokale seo optimalisatie,110,16,7.18,Service research,Lokale SEO,/diensten/lokale-seo,P2,"Support term for service section"
seo voor lokale bedrijven,20,0,0.00,Commercial,Lokale SEO,/diensten/lokale-seo,P2,"Strategically relevant despite low volume"
seo voor dienstverleners,50,11,0.00,Commercial,Lokale SEO,/diensten/lokale-seo,P2,"Supports Brandlift's service-business positioning"
lokale seo voor bedrijven,140,27,0.00,Commercial,Lokale SEO,/diensten/lokale-seo,P2,"Semrush expansion confirms demand"
lokale seo uitbesteden,70,6,0.00,Commercial,Lokale SEO,/diensten/lokale-seo,P2,"Low-KD service intent"
google bedrijfsprofiel optimaliseren,30,0,0.00,Service research,Lokale SEO,/diensten/lokale-seo,P3,"Support topic inside local SEO page or later article"
google business profile optimalisatie,50,0,0.00,Service research,Lokale SEO,/diensten/lokale-seo,P3,"Support topic inside local SEO page or later article"
wat is lokale seo,480,19,0.00,Informational,Lokale SEO kennisbank,/kennisbank/wat-is-lokale-seo,P2,"SalesWizard and To Be Found rank with explainers"
lokale seo tips,590,11,0.00,Informational,Lokale SEO kennisbank,/kennisbank/lokale-seo-checklist,P2,"Peak Online Marketing ranks with local SEO tips"
lokale seo checklist,20,0,0.00,Informational,Lokale SEO kennisbank,/kennisbank/lokale-seo-checklist,P2,"Low volume but strong content utility"
tools voor lokale seo,70,16,0.00,Informational,Lokale SEO kennisbank,/kennisbank/lokale-seo-checklist,P3,"Support section in checklist article"
seo bureau den haag,720,20,6.03,Local commercial,Den Haag SEO,/lokale-seo-den-haag,P2,"Rubix Creative #1, SAM Online Marketing #2, Webactueel #7"
seo expert den haag,590,12,0.00,Local commercial,Den Haag SEO,/lokale-seo-den-haag,P2,"Webactueel ranks #4 with seo-den-haag page"
seo uitbesteden den haag,480,9,0.00,Local commercial,Den Haag SEO,/lokale-seo-den-haag,P2,"Webactueel ranks #3"
lokale seo den haag,40,0,6.31,Local commercial,Den Haag SEO,/lokale-seo-den-haag,P3,"Low volume but exact Brandlift local service match"
seo bureau in den haag,30,0,0.00,Local commercial,Den Haag SEO,/lokale-seo-den-haag,P3,"Support variant"
website laten maken kosten,2900,22,5.60,Informational commercial,Website cost,/kennisbank/wat-kost-een-website-laten-maken,P1,"VHBP #1, Stuurlui #3"
kosten website laten maken,1600,11,5.60,Informational commercial,Website cost,/kennisbank/wat-kost-een-website-laten-maken,P1,"VHBP #2"
wat kost een website laten maken,1600,15,5.42,Informational commercial,Website cost,/kennisbank/wat-kost-een-website-laten-maken,P1,"VHBP #1; cost SERP is article-led"
website laten maken prijs,1300,21,6.03,Informational commercial,Website cost,/kennisbank/wat-kost-een-website-laten-maken,P1,"Stuurlui #1, VHBP #2"
website maken kosten,720,19,3.48,Informational commercial,Website cost,/kennisbank/wat-kost-een-website-laten-maken,P1,"VHBP ranks #1 for website maken kosten"
wat kost website laten maken,590,13,2.67,Informational commercial,Website cost,/kennisbank/wat-kost-een-website-laten-maken,P1,"VHBP ranks #1"
prijs website laten maken,590,18,3.28,Informational commercial,Website cost,/kennisbank/wat-kost-een-website-laten-maken,P1,"Stuurlui ranks #1, VHBP #2"
kosten website maken,590,20,3.48,Informational commercial,Website cost,/kennisbank/wat-kost-een-website-laten-maken,P1,"Stuurlui ranks #1"
professionele website laten maken kosten,590,23,4.82,Informational commercial,Website cost,/kennisbank/wat-kost-een-website-laten-maken,P1,"Stuurlui ranks #1"
prijzen website laten maken,480,21,3.28,Informational commercial,Website cost,/kennisbank/wat-kost-een-website-laten-maken,P2,"VHBP ranks #1"
wat kost het laten maken van een website,480,14,2.67,Informational commercial,Website cost,/kennisbank/wat-kost-een-website-laten-maken,P2,"Question expansion validates topic depth"
hoeveel kost een website laten maken,390,17,3.31,Informational commercial,Website cost,/kennisbank/wat-kost-een-website-laten-maken,P2,"Question expansion validates FAQ section"
