keyword,volume,kd,cpc,competition,intent,seed_cluster
utrecht centraal,673000,,0.17,LOW,navigational,branding
amsterdam,550000,55,0.91,LOW,informational,denhaag
weer amsterdam,550000,17,0.04,LOW,informational,denhaag
amsterdam cs,450000,41,0.21,LOW,navigational,denhaag
den haag centraal,450000,8,0.22,LOW,navigational,denhaag
weer den haag,368000,9,0.04,LOW,informational,denhaag
utrecht,368000,100,0.71,LOW,informational,branding
rotterdam,368000,82,0.8,LOW,informational,branding
weer rotterdam,368000,17,0.31,LOW,informational,branding
rotterdam centraal,368000,2,0.23,LOW,navigational,branding
leiden,246000,87,0.74,LOW,informational,seo
amsterdam zuid,246000,25,0.37,LOW,navigational,denhaag
rai amsterdam,246000,19,0.42,LOW,navigational,denhaag
weer utrecht,246000,11,0.04,LOW,informational,branding
amsterdam veer centraal station,201000,1,0.21,LOW,navigational,denhaag
amsterdam bijlmer arena,165000,,0.35,LOW,navigational,denhaag
ado den haag,165000,21,0.37,LOW,informational,denhaag
ikea amsterdam,165000,9,0.82,LOW,navigational,denhaag
nemo amsterdam,165000,13,0.96,MEDIUM,navigational,denhaag
ahoy rotterdam,165000,25,1.62,LOW,navigational,branding
rtv utrecht,165000,27,0.44,LOW,navigational,branding
alphen aan den rijn,135000,21,0.88,LOW,navigational,denhaag
ikea utrecht,135000,11,0.67,LOW,navigational,branding
buienradar amsterdam,110000,9,0.4,LOW,informational,denhaag
vrije universiteit amsterdam,110000,53,0.66,LOW,navigational,denhaag
weer leiden,90500,,0.02,LOW,informational,seo
action amsterdam,90500,11,0.1,LOW,informational,denhaag
den helder,90500,54,0.47,LOW,informational,denhaag
kunsthal rotterdam,90500,12,1.19,MEDIUM,navigational,branding
umc utrecht,90500,87,1.01,LOW,navigational,branding
rekenmachine online,74000,8,1.27,LOW,transactional,seo
stedelijk museum amsterdam,74000,12,0.24,LOW,navigational,denhaag
rijksmuseum amsterdam,74000,48,0.3,LOW,navigational,denhaag
den bosch,74000,39,0.78,LOW,navigational,denhaag
primark amsterdam,74000,,0.29,LOW,navigational,denhaag
amsterdam zuid station,74000,,0.44,LOW,navigational,denhaag
woningnet amsterdam,74000,22,1.65,LOW,navigational,denhaag
buienradar den haag,74000,7,0.42,LOW,informational,denhaag
weer den bosch,74000,,0.01,LOW,informational,denhaag
nederlands online casino,74000,75,21.01,LOW,commercial,branding
het weer rotterdam,74000,17,0.12,LOW,informational,branding
online casino nederland,74000,78,21.01,LOW,commercial,branding
action rotterdam,74000,,0.09,LOW,informational,branding
buienradar rotterdam,74000,,2.3,LOW,informational,branding
google ads,60500,57,1.89,MEDIUM,informational,seo
weer gouda,60500,,0.03,LOW,informational,seo
den haag laan van noi,60500,,0.32,LOW,navigational,denhaag
den haag laan v noi,60500,,0.32,LOW,navigational,denhaag
gemeente den haag,60500,73,0.37,LOW,navigational,denhaag
de wallen red light district amsterdam,60500,8,0.14,LOW,navigational,denhaag
fc den bosch,60500,41,0.02,LOW,informational,denhaag
gratis spelletjes,60500,78,0.06,LOW,informational,denhaag
amsterdam amstel,60500,7,0.66,LOW,navigational,denhaag
laan van noi den haag,60500,,0.32,LOW,navigational,denhaag
amsterdam centrum,60500,14,0.4,LOW,navigational,denhaag
het weer den haag,60500,9,0.03,LOW,informational,denhaag
kunstmuseum den haag,60500,23,9.65,LOW,navigational,denhaag
gemeente amsterdam,60500,28,0.25,LOW,navigational,denhaag
feyenoord utrecht,60500,1,0,LOW,informational,branding
buienradar utrecht,60500,17,0.5,LOW,informational,branding
ss rotterdam,60500,17,0.62,LOW,informational,branding
gemeenten rotterdam,60500,37,0.22,LOW,informational,branding
diakonessenhuis utrecht,60500,5,0.39,LOW,navigational,branding
temu nl,49500,6,0.25,HIGH,navigational,seo
google tra,49500,96,0.94,LOW,navigational,seo
afas online,49500,8,0.23,LOW,navigational,seo
online bibliotheek,49500,29,3.4,LOW,informational,seo
transport online,49500,52,5.34,LOW,informational,seo
amsterdam arena,49500,35,0.37,LOW,navigational,denhaag
olympisch stadion amsterdam,49500,20,0.2,LOW,navigational,denhaag
amsterdam umc locatie vumc,49500,30,0.51,LOW,navigational,denhaag
cafe restaurant amsterdam,49500,40,1.14,LOW,navigational,denhaag
hagaziekenhuis den haag,49500,,0.59,LOW,navigational,denhaag
blond amsterdam,49500,,0.12,HIGH,informational,denhaag
red light district amsterdam,49500,10,0.48,LOW,navigational,denhaag
funda amsterdam,49500,,1.3,LOW,navigational,denhaag
funda den haag,49500,,1.67,LOW,informational,denhaag
p r rai amsterdam,49500,9,0.37,LOW,navigational,denhaag
van der valk utrecht,49500,34,0.45,MEDIUM,navigational,branding
centraal station rotterdam,49500,1,0.22,LOW,navigational,branding
online radio luisteren,49500,99,0.04,LOW,informational,branding
woningnet utrecht,49500,27,1.46,LOW,navigational,branding
rotterdam blaak,49500,,0.24,LOW,informational,branding
medisch meander centrum,49500,17,0.54,LOW,navigational,conversie
medisch centrum meander,49500,10,0.72,LOW,navigational,conversie
xtracold icebar amsterdam,40500,,0.79,LOW,navigational,denhaag
nieuwerkerk aan den ijssel,40500,3,0.65,LOW,informational,denhaag
filmhuis den haag,40500,9,1,LOW,navigational,denhaag
gebedstijden amsterdam,40500,,2.21,LOW,informational,denhaag
madame tussauds amsterdam,40500,6,0.73,MEDIUM,navigational,denhaag
bijenkorf amsterdam,40500,42,0.14,HIGH,navigational,denhaag
stand ado den haag,40500,,0,LOW,informational,denhaag
hotel amsterdam,40500,21,1.78,HIGH,navigational,denhaag
pathe amsterdam noord,40500,,0.81,LOW,navigational,denhaag
weersverwachting amsterdam,40500,19,0.03,LOW,informational,denhaag
action den haag,40500,3,0.08,LOW,informational,denhaag
meteo amsterdam,40500,29,0.11,LOW,informational,denhaag
pancakes amsterdam,40500,12,0.31,LOW,navigational,denhaag
hoxton amsterdam,40500,,1.2,LOW,navigational,denhaag
body worlds amsterdam,40500,,0.98,LOW,navigational,denhaag
amsterdam noord,40500,4,0.73,LOW,navigational,denhaag
centraal station den haag,40500,,0.2,LOW,navigational,denhaag
rotterdam centrum,40500,34,1.17,LOW,navigational,branding
utrecht overvecht utrecht,40500,,0.24,LOW,informational,branding
hoogvliet rotterdam,40500,9,0.41,LOW,navigational,branding
fc utrecht wedstrijden,40500,18,0,LOW,informational,branding
utrecht overvecht,40500,3,0.24,LOW,informational,branding
restaurant rotterdam,40500,16,0.64,LOW,navigational,branding
restaurant utrecht,40500,28,0.7,MEDIUM,navigational,branding
primark rotterdam,40500,,1.4,LOW,navigational,branding
schaatsbaan rotterdam,40500,3,0.2,LOW,navigational,branding
gebedstijden rotterdam,40500,,1.32,LOW,informational,branding
funda rotterdam,40500,,1.48,LOW,navigational,branding
word online,33100,11,1.46,LOW,informational,seo
buienradar leiden,33100,,0.48,LOW,informational,seo
hotel casa amsterdam,33100,,0.91,LOW,navigational,denhaag
restaurant amsterdam,33100,27,0.88,MEDIUM,navigational,denhaag
de bijenkorf den haag,33100,17,0.14,LOW,navigational,denhaag
weer alphen aan den rijn,33100,,0.03,LOW,informational,denhaag
holendrecht amsterdam,33100,4,0.6,LOW,navigational,denhaag
margo's amsterdam,33100,,0.16,LOW,navigational,denhaag
soho house amsterdam,33100,,0.43,LOW,navigational,denhaag
trainmore amsterdam,33100,22,0.34,LOW,navigational,denhaag
parkeren amsterdam,33100,31,0.82,LOW,navigational,denhaag
dam amsterdam,33100,10,0.57,LOW,navigational,denhaag
oude kerk amsterdam,33100,21,0.65,LOW,navigational,denhaag
icon amsterdam,33100,13,0.41,HIGH,navigational,denhaag
mediamarkt den bosch,33100,17,0.15,MEDIUM,navigational,denhaag
betekenis,33100,25,0,LOW,informational,conversie
wordpress,27100,56,5.84,MEDIUM,informational,website
funda leiden,27100,,1.26,LOW,navigational,seo
rekenen nl,27100,45,1.54,LOW,informational,seo
buienradar deventer,27100,,0.09,LOW,informational,seo
action leiden,27100,,0.07,LOW,informational,seo
google documenten,27100,26,0.27,LOW,navigational,seo
buienradar gouda,27100,,0.03,LOW,informational,seo
